,幣別,現金匯率-本行買入,現金匯率-本行賣出,即期匯率-本行買入,即期匯率-本行賣出
0,USD,30.43,31.12,30.8,30.9
1,HKD,3.765,3.981,3.901,3.961
2,GBP,38.33,40.45,39.33,39.75
3,AUD,21.48,22.26,21.75,21.98
4,CAD,22.69,23.6,23.08,23.3
5,SGD,22.13,23.04,22.62,22.8
6,CHF,29.86,31.06,30.52,30.81
7,JPY,0.2704,0.2832,0.2777,0.2817
8,ZAR,-,-,2.13,2.21
9,SEK,2.93,3.45,3.27,3.37
10,NZD,20.58,21.43,20.96,21.16
11,THB,0.8626,1.0506,0.9712,1.0112
12,PHP,0.5148,0.6478,-,-
13,IDR,0.00188,0.00258,-,-
14,EUR,33.98,35.32,34.6,35
15,KRW,0.02557,0.02947,-,-
16,VND,0.00096,0.00146,-,-
17,MYR,6.458,8.088,-,-
18,CNY,4.446,4.608,4.518,4.568
