,幣別,現金匯率-本行買入,現金匯率-本行賣出,即期匯率-本行買入,即期匯率-本行賣出,更新時間
0,USD,30.35,31.04,30.72,30.82,2019-02-27 17:46:55.689530
1,HKD,3.754,3.97,3.89,3.95,2019-02-27 17:46:55.689530
2,GBP,39.61,41.73,40.61,41.03,2019-02-27 17:46:55.689530
3,AUD,21.71,22.49,21.98,22.21,2019-02-27 17:46:55.689530
4,CAD,22.87,23.78,23.26,23.48,2019-02-27 17:46:55.689530
5,SGD,22.26,23.17,22.75,22.93,2019-02-27 17:46:55.689530
6,CHF,29.98,31.18,30.64,30.93,2019-02-27 17:46:55.689530
7,JPY,0.2695,0.2823,0.2768,0.2808,2019-02-27 17:46:55.689530
8,ZAR,-,-,2.17,2.25,2019-02-27 17:46:55.689530
9,SEK,2.93,3.45,3.27,3.37,2019-02-27 17:46:55.689530
10,NZD,20.73,21.58,21.11,21.31,2019-02-27 17:46:55.689530
11,THB,0.8561,1.0441,0.9647,1.0047,2019-02-27 17:46:55.689530
12,PHP,0.5192,0.6522,-,-,2019-02-27 17:46:55.689530
13,IDR,0.00188,0.00258,-,-,2019-02-27 17:46:55.689530
14,EUR,34.2,35.54,34.82,35.22,2019-02-27 17:46:55.689530
15,KRW,0.02577,0.02967,-,-,2019-02-27 17:46:55.689530
16,VND,0.00095,0.00145,-,-,2019-02-27 17:46:55.689530
17,MYR,6.47,8.1,-,-,2019-02-27 17:46:55.689530
18,CNY,4.506,4.668,4.578,4.628,2019-02-27 17:46:55.689530
